Title,Price,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material
"2020 Transition Patrol Carbon X01, Large",$2800 USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,160 mm,Carbon Fiber
2023 Transition Sentinel - Large,$3500 USD,Excellent - Lightly Ridden,L,"29""",160 mm,150 mm,Aluminium
2023 Transition Patrol,$2950 USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,170 mm,Carbon Fiber
2023 Specialized enduro custom build,$4000 USD,Excellent - Lightly Ridden,L,"29""",170 mm,170 mm,Carbon Fiber
2024 Ibis Ripmo V2S,$5000 CAD,Excellent - Lightly Ridden,L,"29""",170 mm,150 mm,Carbon Fiber
2020 Rocky Mountain Slayer,$3400 CAD,Excellent - Lightly Ridden,M,"29""",170 mm,170 mm,Aluminium
2018 Felt Compulsion 10,$985 USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,160 mm,Aluminium
2022 Santa Cruz Bronson Medium,$4400 USD,Excellent - Lightly Ridden,M,"29""",160 mm,150 mm,Carbon Fiber
2021 Commencal Meta TR Custom Build,$3000 USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,140 mm,Aluminium
2022 Specialized Enduro S-Works,$4000 USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,170 mm,Carbon Fiber
2022 Kona Process X Mulletâ€” all new 2024 parts,$3700 CAD,Excellent - Lightly Ridden,M,"29""",170 mm,170 mm,Carbon Fiber
2022 Specialized S-Works Enduro,$3500 USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,140 mm,Carbon Fiber
2019 Canyon Spectral CF 7.0,$1690 USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,150 mm,Carbon Fiber
2022 Trek Slash 9.8 XL,$3500 USD,Excellent - Lightly Ridden,XL,"29""",170 mm,160 mm,Carbon Fiber
2016 Small frame SB6C XT/XTR with upgrades,$1750 USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",160 mm,150 mm,Carbon Fiber
2021 Meduim Specialized stumpy evo pro frame+parts.,$1500 USD,"Good - Used, Mechanically Sound",M,"29""",140 mm,160 mm,Carbon Fiber
2022 Excellent Condition Specialized Enduro Carbon S4,$2999 USD,Excellent - Lightly Ridden,L,"29""",170 mm,170 mm,Carbon Fiber
2018 Devinci Troy Carbon,$2200 CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",150 mm,140 mm,Carbon Fiber
2022 Kona Process X CR/DL AXS XL,$2900 USD,Excellent - Lightly Ridden,XL,"29""",170 mm,160 mm,Carbon Fiber
2021 Canfield Balance,$2200 USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,170 mm,Aluminium
